step,MI
0,0.06319989336532798
10,0.05078064126238652
20,0.04770353264777734
30,0.045693673811246345
40,0.0446983536250241
50,0.04156161019399733
60,0.04208378404346094
70,0.04118950345370782
80,0.039696998410722134
90,0.0380198125567079
100,0.037085392139812025
110,0.0361959529539147
120,0.03618739372117115
130,0.03545129882864944
140,0.036077933031860104
150,0.03620531562399033
160,0.0354504092775758
170,0.0379163948657153
180,0.037655689453820446
190,0.03620987885276962
200,0.037440201570466784
210,0.03676696925935087
220,0.0368560400350368
230,0.036390748829196747
240,0.035068354339754707
250,0.03432445183541746
260,0.03835334736813732
270,0.03838188246226755
280,0.03725267872658727
290,0.037060272130907124
300,0.037417297579922085
310,0.0395956162957085
320,0.04057552648163102
330,0.04199302249043775
340,0.04288962300445908
350,0.04170025600113588
360,0.04266617291607555
370,0.04296215964547985
380,0.044355672761185995
390,0.04458964700684848
400,0.04470264357385534
410,0.04541335911124469
420,0.04639977762652596
430,0.04757129238918581
440,0.048111105694750356
450,0.05112609959211148
460,0.05126233483001115
470,0.05168024880863149
480,0.05170878322709131
490,0.05422343650474866
500,0.05162170038171418
510,0.05451346981383191
520,0.05662616246875431
530,0.05881073145515481
540,0.05850696658920848
550,0.06111412088922741
560,0.0587876556593957
570,0.061369203867188145
580,0.0633267734898959
590,0.06631191366126993
600,0.07168082640980564
610,0.07572972792914599
620,0.08066149540577425
630,0.08605153488321435
640,0.08898934893754945
650,0.09458352173785799
660,0.098474853531589
670,0.10177155965918142
680,0.10801337869785504
690,0.1104913787489612
700,0.11050230580016232
710,0.11680667957432161
720,0.11869820953465399
730,0.12024133162048531
740,0.12848895923052756
750,0.12778238621429266
760,0.1295872764214084
770,0.1343198575900792
780,0.13996174682477341
790,0.1519196170400361
