D,alpha,mse_final,T_max_final,oh_pct,mean_ctrl,conv_step
0.0002,0.8,0.003202,57.25,7.65,0.00159,0
0.0002,1.5,0.002187,56.12,7.6,0.00266,0
0.0002,2.2,0.001528,55.23,7.52,0.00351,0
0.0002,3.5,0.000834,54.05,7.43,0.00464,0
0.00035,0.8,0.003211,57.27,7.65,0.00159,0
0.00035,1.5,0.002198,56.14,7.6,0.00266,0
0.00035,2.2,0.001539,55.26,7.52,0.00351,0
0.00035,3.5,0.000842,54.08,7.43,0.00464,0
0.0007,0.8,0.003231,57.3,7.65,0.00159,0
0.0007,1.5,0.002222,56.19,7.6,0.00266,0
0.0007,2.2,0.001563,55.32,7.52,0.00351,0
0.0007,3.5,0.000861,54.15,7.43,0.00464,0
0.0014,0.8,0.00327,57.36,7.65,0.00159,0
0.0014,1.5,0.002271,56.28,7.6,0.00267,0
0.0014,2.2,0.001612,55.43,7.51,0.00351,0
0.0014,3.5,0.000902,54.27,7.41,0.00465,0
