D,alpha,final_mse,final_tv,convergence_step,final_mean_ctrl
0.0002,0.6,0.007663,0.005708,220,0.03578
0.0002,1.2,0.005074,0.005966,115,0.03276
0.0002,1.8,0.00338,0.006188,79,0.03033
0.0002,3.0,0.001538,0.006524,49,0.02679
0.0004,0.6,0.007711,0.003303,214,0.03578
0.0004,1.2,0.005151,0.004022,110,0.03276
0.0004,1.8,0.003464,0.004609,75,0.03033
0.0004,3.0,0.001613,0.005476,46,0.02679
0.0008,0.6,0.007817,0.002226,214,0.03578
0.0008,1.2,0.005305,0.003127,107,0.03276
0.0008,1.8,0.003634,0.003862,72,0.03033
0.0008,3.0,0.001764,0.004945,44,0.02679
0.0016,0.6,0.008012,0.001695,219,0.03578
0.0016,1.2,0.005591,0.002645,107,0.03276
0.0016,1.8,0.00395,0.003421,71,0.03033
0.0016,3.0,0.002059,0.004571,43,0.02679
